agency_name,state_name,date,crime_type,number_of_agencies,population_covered_fbi,12mo_rolling_sum,Last Updated
Full Sample,Nationwide,January 2018,Murders,545,112296030,8799,
Full Sample,Nationwide,February 2018,Murders,545,112296030,8716,
Full Sample,Nationwide,March 2018,Murders,545,112296030,8654,
Full Sample,Nationwide,April 2018,Murders,545,112296030,8575,
Full Sample,Nationwide,May 2018,Murders,545,112296030,8511,
Full Sample,Nationwide,June 2018,Murders,545,112296030,8461,
Full Sample,Nationwide,July 2018,Murders,545,112296030,8363,
Full Sample,Nationwide,August 2018,Murders,545,112296030,8380,
Full Sample,Nationwide,September 2018,Murders,545,112296030,8400,
Full Sample,Nationwide,October 2018,Murders,545,112296030,8271,
Full Sample,Nationwide,November 2018,Murders,545,112296030,8197,
Full Sample,Nationwide,December 2018,Murders,545,112296030,8164,
Full Sample,Nationwide,January 2019,Murders,545,112296030,8090,
Full Sample,Nationwide,February 2019,Murders,545,112296030,8092,
Full Sample,Nationwide,March 2019,Murders,545,112296030,8123,
Full Sample,Nationwide,April 2019,Murders,545,112296030,8120,
Full Sample,Nationwide,May 2019,Murders,545,112296030,8165,
Full Sample,Nationwide,June 2019,Murders,545,112296030,8176,
Full Sample,Nationwide,July 2019,Murders,545,112296030,8232,
Full Sample,Nationwide,August 2019,Murders,545,112296030,8281,
Full Sample,Nationwide,September 2019,Murders,545,112296030,8291,
Full Sample,Nationwide,October 2019,Murders,545,112296030,8264,
Full Sample,Nationwide,November 2019,Murders,545,112296030,8290,
Full Sample,Nationwide,December 2019,Murders,545,112296030,8304,
Full Sample,Nationwide,January 2020,Murders,545,112296030,8414,
Full Sample,Nationwide,February 2020,Murders,545,112296030,8471,
Full Sample,Nationwide,March 2020,Murders,545,112296030,8541,
Full Sample,Nationwide,April 2020,Murders,545,112296030,8694,
Full Sample,Nationwide,May 2020,Murders,545,112296030,8849,
Full Sample,Nationwide,June 2020,Murders,545,112296030,9158,
Full Sample,Nationwide,July 2020,Murders,545,112296030,9556,
Full Sample,Nationwide,August 2020,Murders,545,112296030,9820,
Full Sample,Nationwide,September 2020,Murders,545,112296030,10099,
Full Sample,Nationwide,October 2020,Murders,545,112296030,10534,
Full Sample,Nationwide,November 2020,Murders,545,112296030,10867,
Full Sample,Nationwide,December 2020,Murders,545,112296030,11208,
Full Sample,Nationwide,January 2021,Murders,545,112296030,11403,
Full Sample,Nationwide,February 2021,Murders,545,112296030,11578,
Full Sample,Nationwide,March 2021,Murders,545,112296030,11702,
Full Sample,Nationwide,April 2021,Murders,545,112296030,11869,
Full Sample,Nationwide,May 2021,Murders,545,112296030,11995,
Full Sample,Nationwide,June 2021,Murders,545,112296030,12035,
Full Sample,Nationwide,July 2021,Murders,545,112296030,11969,
Full Sample,Nationwide,August 2021,Murders,545,112296030,11965,
Full Sample,Nationwide,September 2021,Murders,545,112296030,12054,
Full Sample,Nationwide,October 2021,Murders,545,112296030,11980,
Full Sample,Nationwide,November 2021,Murders,545,112296030,11904,
Full Sample,Nationwide,December 2021,Murders,545,112296030,11792,
Full Sample,Nationwide,January 2022,Murders,545,112296030,11773,
Full Sample,Nationwide,February 2022,Murders,545,112296030,11788,
Full Sample,Nationwide,March 2022,Murders,545,112296030,11856,
Full Sample,Nationwide,April 2022,Murders,545,112296030,11855,
Full Sample,Nationwide,May 2022,Murders,545,112296030,11817,
Full Sample,Nationwide,June 2022,Murders,545,112296030,11807,
Full Sample,Nationwide,July 2022,Murders,545,112296030,11731,
Full Sample,Nationwide,August 2022,Murders,545,112296030,11719,
Full Sample,Nationwide,September 2022,Murders,545,112296030,11534,
Full Sample,Nationwide,October 2022,Murders,545,112296030,11479,
Full Sample,Nationwide,November 2022,Murders,545,112296030,11322,
Full Sample,Nationwide,December 2022,Murders,545,112296030,11260,
Full Sample,Nationwide,January 2023,Murders,545,112296030,11207,
Full Sample,Nationwide,February 2023,Murders,545,112296030,11125,
Full Sample,Nationwide,March 2023,Murders,545,112296030,11044,
Full Sample,Nationwide,April 2023,Murders,545,112296030,10918,
Full Sample,Nationwide,May 2023,Murders,545,112296030,10808,
Full Sample,Nationwide,June 2023,Murders,545,112296030,10636,
Full Sample,Nationwide,July 2023,Murders,545,112296030,10569,
Full Sample,Nationwide,August 2023,Murders,545,112296030,10409,
Full Sample,Nationwide,September 2023,Murders,545,112296030,10327,
Full Sample,Nationwide,October 2023,Murders,545,112296030,10159,
Full Sample,Nationwide,November 2023,Murders,545,112296030,10134,
Full Sample,Nationwide,December 2023,Murders,545,112296030,10006,
Full Sample,Nationwide,January 2024,Murders,545,112296030,9813,
Full Sample,Nationwide,February 2024,Murders,545,112296030,9775,
Full Sample,Nationwide,March 2024,Murders,545,112296030,9673,
Full Sample,Nationwide,April 2024,Murders,545,112296030,9580,
Full Sample,Nationwide,May 2024,Murders,545,112296030,9483,
Full Sample,Nationwide,June 2024,Murders,545,112296030,9372,
Full Sample,Nationwide,July 2024,Murders,545,112296030,9236,
Full Sample,Nationwide,August 2024,Murders,545,112296030,9102,
Full Sample,Nationwide,September 2024,Murders,545,112296030,8944,
Full Sample,Nationwide,October 2024,Murders,545,112296030,8864,
Full Sample,Nationwide,November 2024,Murders,545,112296030,8786,
Full Sample,Nationwide,December 2024,Murders,545,112296030,8668,
Full Sample,Nationwide,January 2025,Murders,545,112296030,8640,
Full Sample,Nationwide,February 2025,Murders,545,112296030,8483,
Full Sample,Nationwide,March 2025,Murders,545,112296030,8309,
Full Sample,Nationwide,April 2025,Murders,545,112296030,8168,
Full Sample,Nationwide,May 2025,Murders,545,112296030,7998,
Full Sample,Nationwide,June 2025,Murders,545,112296030,7837,
Full Sample,Nationwide,July 2025,Murders,545,112296030,7631,
Full Sample,Nationwide,August 2025,Murders,545,112296030,7449,
Full Sample,Nationwide,September 2025,Murders,545,112296030,7348,
